Week,Week,cryptocurrency
2019-03-24,2019-03-24,7
2019-03-31,2019-03-31,9
2019-04-07,2019-04-07,8
2019-04-14,2019-04-14,7
2019-04-21,2019-04-21,7
2019-04-28,2019-04-28,7
2019-05-05,2019-05-05,7
2019-05-12,2019-05-12,11
2019-05-19,2019-05-19,8
2019-05-26,2019-05-26,10
2019-06-02,2019-06-02,9
2019-06-09,2019-06-09,9
2019-06-16,2019-06-16,16
2019-06-23,2019-06-23,13
2019-06-30,2019-06-30,9
2019-07-07,2019-07-07,9
2019-07-14,2019-07-14,10
2019-07-21,2019-07-21,8
2019-07-28,2019-07-28,7
2019-08-04,2019-08-04,7
2019-08-11,2019-08-11,6
2019-08-18,2019-08-18,7
2019-08-25,2019-08-25,6
2019-09-01,2019-09-01,7
2019-09-08,2019-09-08,6
2019-09-15,2019-09-15,7
2019-09-22,2019-09-22,7
2019-09-29,2019-09-29,6
2019-10-06,2019-10-06,6
2019-10-13,2019-10-13,7
2019-10-20,2019-10-20,7
2019-10-27,2019-10-27,6
2019-11-03,2019-11-03,6
2019-11-10,2019-11-10,6
2019-11-17,2019-11-17,6
2019-11-24,2019-11-24,6
2019-12-01,2019-12-01,5
2019-12-08,2019-12-08,6
2019-12-15,2019-12-15,6
2019-12-22,2019-12-22,5
2019-12-29,2019-12-29,6
2020-01-05,2020-01-05,6
2020-01-12,2020-01-12,7
2020-01-19,2020-01-19,6
2020-01-26,2020-01-26,6
2020-02-02,2020-02-02,6
2020-02-09,2020-02-09,8
2020-02-16,2020-02-16,8
2020-02-23,2020-02-23,7
2020-03-01,2020-03-01,9
2020-03-08,2020-03-08,9
2020-03-15,2020-03-15,8
2020-03-22,2020-03-22,7
2020-03-29,2020-03-29,6
2020-04-05,2020-04-05,7
2020-04-12,2020-04-12,7
2020-04-19,2020-04-19,8
2020-04-26,2020-04-26,9
2020-05-03,2020-05-03,10
2020-05-10,2020-05-10,10
2020-05-17,2020-05-17,9
2020-05-24,2020-05-24,7
2020-05-31,2020-05-31,7
2020-06-07,2020-06-07,7
2020-06-14,2020-06-14,7
2020-06-21,2020-06-21,7
2020-06-28,2020-06-28,7
2020-07-05,2020-07-05,8
2020-07-12,2020-07-12,8
2020-07-19,2020-07-19,9
2020-07-26,2020-07-26,10
2020-08-02,2020-08-02,12
2020-08-09,2020-08-09,11
2020-08-16,2020-08-16,12
2020-08-23,2020-08-23,9
2020-08-30,2020-08-30,11
2020-09-06,2020-09-06,8
2020-09-13,2020-09-13,9
2020-09-20,2020-09-20,7
2020-09-27,2020-09-27,7
2020-10-04,2020-10-04,6
2020-10-11,2020-10-11,7
2020-10-18,2020-10-18,7
2020-10-25,2020-10-25,8
2020-11-01,2020-11-01,7
2020-11-08,2020-11-08,8
2020-11-15,2020-11-15,11
2020-11-22,2020-11-22,15
2020-11-29,2020-11-29,13
2020-12-06,2020-12-06,13
2020-12-13,2020-12-13,14
2020-12-20,2020-12-20,16
2020-12-27,2020-12-27,20
2021-01-03,2021-01-03,34
2021-01-10,2021-01-10,30
2021-01-17,2021-01-17,24
2021-01-24,2021-01-24,36
2021-01-31,2021-01-31,41
2021-02-07,2021-02-07,55
